Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776950760,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776950761,10,,Aggregated,0.000000,0.000000,890,890,900,900,900,900,900,900,900,900,900,6,0,820,837.0334256666373,725.9530339999856,897.8101789999755,121.0
1776950762,20,,Aggregated,0.000000,0.000000,900,900,1000,1100,1200,1300,1300,1300,1300,1300,1300,14,0,890,937.2118254285625,725.9530339999856,1301.381056000082,131.85714285714286
1776950763,20,,Aggregated,0.000000,0.000000,900,1100,1100,1200,1300,1400,1500,1500,1500,1500,1500,23,0,900,994.0169579130388,707.6416439999775,1498.9725230000204,140.95652173913044
1776950764,20,,Aggregated,5.000000,0.000000,1000,1200,1400,1500,2900,2900,3000,3000,3000,3000,3000,29,0,1000,1321.8339138620531,707.6416439999775,2981.8464619999077,2456.206896551724
1776950765,20,,Aggregated,7.000000,0.000000,1100,1400,2700,2900,3100,3300,3300,3300,3300,3300,3300,35,0,1100,1578.985143028558,707.6416439999775,3311.371824999924,4049.4
1776950766,20,,Aggregated,6.500000,0.000000,1200,2600,3000,3000,3200,3300,3300,3300,3300,3300,3300,42,0,1200,1741.7325209999904,707.6416439999775,3311.371824999924,5267.023809523809
1776950767,20,,Aggregated,6.800000,0.000000,1200,2600,3000,3100,3200,3300,3500,3500,3500,3500,3500,45,0,1200,1723.7067914222132,402.6666029999433,3498.2728420000058,5275.355555555556
1776950768,20,,Aggregated,6.800000,0.000000,1100,2600,3000,3000,3200,3300,3500,3500,3500,3500,3500,47,0,1100,1682.6123460425465,402.6666029999433,3498.2728420000058,5120.106382978724
1776950769,20,,Aggregated,6.285714,0.000000,1200,2600,3000,3100,3300,3400,3500,3800,3800,3800,3800,54,0,1100,1712.29227753703,402.6666029999433,3785.6177669999624,5532.2037037037035
1776950770,20,,Aggregated,5.875000,0.000000,1200,2900,3100,3200,3400,3800,4000,4200,4200,4200,4200,58,0,1200,1810.2811422241305,402.6666029999433,4208.97554499993,6194.758620689655
1776950771,20,,Aggregated,5.666667,0.000000,1200,2900,3200,3300,3600,4000,4200,4300,4300,4300,4300,62,0,1200,1909.5710962257983,402.6666029999433,4298.842481000065,6824.774193548387
1776950772,20,,Aggregated,5.600000,0.000000,1200,3000,3200,3300,4000,4400,4400,4500,4500,4500,4500,71,0,1200,1965.3989633943593,323.26697299993157,4515.146707000099,7286.295774647887
1776950773,20,,Aggregated,6.000000,0.000000,1200,3000,3200,3300,4200,4400,4500,5000,5000,5000,5000,75,0,1200,1951.4026102666598,323.26697299993157,5013.194404999922,7215.666666666667
1776950774,20,,Aggregated,6.000000,0.000000,1100,2900,3200,3300,4200,4400,4500,5000,5000,5000,5000,77,0,1100,1929.755735389603,323.26697299993157,5013.194404999922,7105.649350649351
1776950775,20,,Aggregated,6.000000,0.000000,1100,2900,3200,3300,4200,4400,4500,5000,5000,5000,5000,78,0,1100,1910.1898488333263,323.26697299993157,5013.194404999922,7018.051282051282
1776950776,20,,Aggregated,5.300000,0.000000,1100,2900,3200,3300,4000,4400,4500,5000,5000,5000,5000,81,0,1100,1874.7501346543145,323.26697299993157,5013.194404999922,6835.061728395061
1776950777,20,,Aggregated,4.400000,0.000000,1100,2900,3200,3300,4200,4400,6100,6100,6100,6100,6100,83,0,1100,1976.791152108427,323.26697299993157,6120.143859999985,7341.0
1776950778,20,,Aggregated,4.400000,0.000000,1100,2900,3200,3300,4200,4400,6100,6100,6100,6100,6100,84,0,1100,1958.410964154756,323.26697299993157,6120.143859999985,7256.892857142857
1776950779,20,,Aggregated,4.000000,0.000000,1100,2900,3200,3300,4200,4400,6100,6100,6100,6100,6100,85,0,1100,1940.357738317641,323.26697299993157,6120.143859999985,7174.7411764705885
1776950780,20,,Aggregated,3.700000,0.000000,1100,3000,3300,3500,4400,6100,7300,7300,7300,7300,7300,89,0,1100,2103.163771516849,323.26697299993157,7317.040001000009,7918.393258426966
1776950781,20,,Aggregated,3.700000,0.000000,1200,3100,3300,4000,5000,7300,7600,7700,7700,7700,7700,94,0,1200,2323.0175885957387,323.26697299993157,7717.54238199992,8894.308510638299
1776950782,20,,Aggregated,3.000000,0.000000,1200,3100,3500,4000,6100,7400,7800,8000,8000,8000,8000,96,0,1200,2439.271258322911,323.26697299993157,7997.4682859999575,9397.5
1776950783,20,,Aggregated,3.400000,0.000000,1200,3200,3600,4200,7300,7700,8000,8300,8300,8300,8300,100,0,1200,2516.871002129995,323.26697299993157,8314.201769999954,9731.52
1776950784,20,,Aggregated,3.400000,0.000000,1200,3200,3800,4300,7300,7800,8300,8300,8500,8500,8500,104,0,1200,2596.2080042596103,323.26697299993157,8515.106220999996,10063.625
1776950785,20,,Aggregated,2.500000,0.000000,1200,3200,3800,4400,7400,7900,8300,8500,8800,8800,8800,105,0,1200,2655.1872088190416,323.26697299993157,8789.024482999936,10309.961904761905
